"","P1","P2","P3","P4","P5","P6","P7","P8"
"1170","Almond Croissant","Green Tea","Chocolate Coffee",NA,NA,NA,NA,NA
"1171","Opera Cake","Strawberry Cake","Napoleon Cake","Apple Pie","Blackberry Tart","Blueberry Tart","Single Espresso",NA
"1172","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1173","Almond Tart","Orange Juice",NA,NA,NA,NA,NA,NA
"1174","Strawberry Cake","Truffle Cake","Coffee Eclair","Napoleon Cake","Apricot Tart","Blueberry Tart","Cherry Tart","Lemon Cookie"
"1175","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"1176","Chocolate Cake","Blueberry Tart","Cherry Tart","Apricot Croissant","Almond Twist","Orange Juice","Cherry Soda","Single Espresso"
"1177","Truffle Cake","Marzipan Cookie",NA,NA,NA,NA,NA,NA
"1178","Berry Tart","Blueberry Tart","Chocolate Meringue","Lemon Lemonade","Bottled Water","Vanilla Frappuccino",NA,NA
"1179","Coffee Eclair","Blackberry Tart","Vanilla Meringue","Blueberry Danish",NA,NA,NA,NA
"1180","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1181","Opera Cake","Apple Pie","Cherry Tart","Apricot Danish","Vanilla Frappuccino",NA,NA,NA
"1182","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1183","Coffee Eclair","Blackberry Tart","Tuile Cookie",NA,NA,NA,NA,NA
"1184","Chocolate Cake","Coffee Eclair","Almond Tart","Apple Tart","Blackberry Tart","Ganache Cookie","Gongolais Cookie","Chocolate Meringue"
"1185","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"1186","Marzipan Cookie","Tuile Cookie","Hot Coffee",NA,NA,NA,NA,NA
"1187","Lemon Cake","Opera Cake","Cherry Tart","Pecan Tart","Apricot Danish",NA,NA,NA
"1188","Pecan Tart","Chocolate Meringue","Almond Bear Claw","Single Espresso",NA,NA,NA,NA
"1189","Strawberry Cake","Truffle Cake","Gongolais Cookie","Vanilla Frappuccino",NA,NA,NA,NA
"1190","Vanilla Eclair","Cherry Tart","Lemon Tart","Walnut Cookie",NA,NA,NA,NA
"1191","Opera Cake","Strawberry Cake","Napoleon Cake","Apricot Tart",NA,NA,NA,NA
"1192","Apple Tart","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA
"1193","Chocolate Tart","Walnut Cookie","Hot Coffee","Vanilla Frappuccino",NA,NA,NA,NA
"1194","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1195","Apricot Croissant",NA,NA,NA,NA,NA,NA,NA
"1196","Vanilla Meringue","Almond Bear Claw","Blueberry Danish",NA,NA,NA,NA,NA
"1197","Lemon Cake","Chocolate Eclair","Lemon Tart",NA,NA,NA,NA,NA
"1198","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"1199","Almond Tart","Almond Twist","Cherry Soda",NA,NA,NA,NA,NA
"1200","Lemon Cake","Almond Tart","Raspberry Lemonade",NA,NA,NA,NA,NA
"1201","Chocolate Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"1202","Ganache Cookie","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"1203","Coffee Eclair","Apple Pie","Gongolais Cookie","Apricot Danish","Almond Twist","Green Tea",NA,NA
"1204","Blackberry Tart","Chocolate Croissant",NA,NA,NA,NA,NA,NA
"1205","Chocolate Cake","Blackberry Tart","Cherry Tart",NA,NA,NA,NA,NA
"1206","Apricot Tart","Lemon Cookie","Blueberry Danish",NA,NA,NA,NA,NA
"1207","Lemon Cake","Strawberry Cake","Chocolate Eclair",NA,NA,NA,NA,NA
"1208","Napoleon Cake","Chocolate Croissant","Blueberry Danish",NA,NA,NA,NA,NA
"1209","Truffle Cake","Raspberry Cookie","Orange Juice",NA,NA,NA,NA,NA
"1210","Truffle Cake","Blackberry Tart","Walnut Cookie","Raspberry Lemonade",NA,NA,NA,NA
"1211","Apple Pie","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA
"1212","Vanilla Frappuccino",NA,NA,NA,NA,NA,NA,NA
"1213","Opera Cake","Strawberry Cake","Coffee Eclair","Napoleon Cake","Apricot Tart","Blackberry Tart","Orange Juice",NA
"1214","Coffee Eclair","Apple Pie","Gongolais Cookie",NA,NA,NA,NA,NA
"1215","Ganache Cookie","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"1216","Almond Tart","Chocolate Meringue","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA
"1217","Blueberry Tart","Marzipan Cookie","Apricot Croissant","Hot Coffee",NA,NA,NA,NA
"1218","Napoleon Cake","Almond Tart","Gongolais Cookie","Marzipan Cookie","Chocolate Croissant","Almond Twist","Vanilla Frappuccino",NA
"1219","Coffee Eclair","Apricot Tart","Chocolate Tart","Ganache Cookie","Almond Croissant","Vanilla Frappuccino",NA,NA
"1220","Berry Tart","Blackberry Tart","Orange Juice","Vanilla Frappuccino",NA,NA,NA,NA
"1221","Strawberry Cake","Apricot Tart","Raspberry Cookie","Lemon Lemonade",NA,NA,NA,NA
"1222","Chocolate Eclair","Almond Tart","Chocolate Coffee",NA,NA,NA,NA,NA
"1223","Casino Cake","Almond Tart","Berry Tart","Raspberry Cookie",NA,NA,NA,NA
"1224","Opera Cake","Cherry Tart","Orange Juice",NA,NA,NA,NA,NA
"1225","Casino Cake","Apple Tart","Chocolate Tart","Raspberry Cookie","Apricot Croissant","Apple Danish","Almond Twist","Chocolate Coffee"
"1226","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"1227","Marzipan Cookie",NA,NA,NA,NA,NA,NA,NA
"1228","Berry Tart","Ganache Cookie",NA,NA,NA,NA,NA,NA
"1229","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"1230","Vanilla Eclair","Napoleon Cake","Almond Croissant","Bottled Water",NA,NA,NA,NA
"1231","Cheese Croissant","Lemon Lemonade","Orange Juice",NA,NA,NA,NA,NA
"1232","Lemon Cake",NA,NA,NA,NA,NA,NA,NA
"1233","Chocolate Cake","Strawberry Cake","Cherry Tart","Tuile Cookie","Almond Croissant","Orange Juice",NA,NA
"1234","Tuile Cookie","Green Tea",NA,NA,NA,NA,NA,NA
"1235","Cherry Tart","Vanilla Meringue",NA,NA,NA,NA,NA,NA
"1236","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1237","Walnut Cookie","Almond Croissant","Cherry Soda",NA,NA,NA,NA,NA
"1238","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"1239","Lemon Cake","Coffee Eclair","Blackberry Tart","Pecan Tart","Apple Danish",NA,NA,NA
"1240","Gongolais Cookie","Lemon Cookie","Walnut Cookie","Apple Danish","Bottled Water","Hot Coffee","Vanilla Frappuccino",NA
"1241","Napoleon Cake",NA,NA,NA,NA,NA,NA,NA
"1242","Lemon Cake","Vanilla Eclair","Berry Tart","Lemon Cookie","Apricot Croissant","Almond Bear Claw","Blueberry Danish","Raspberry Lemonade"
"1243","Chocolate Cake","Berry Tart","Walnut Cookie","Bottled Water",NA,NA,NA,NA
"1244","Apple Pie","Cherry Tart","Lemon Tart","Tuile Cookie","Apricot Danish","Orange Juice","Hot Coffee",NA
"1245","Coffee Eclair","Cherry Tart",NA,NA,NA,NA,NA,NA
"1246","Coffee Eclair","Blackberry Tart",NA,NA,NA,NA,NA,NA
"1247","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"1248","Lemon Tart","Pecan Tart","Almond Twist",NA,NA,NA,NA,NA
"1249","Truffle Cake","Cherry Tart","Gongolais Cookie","Tuile Cookie",NA,NA,NA,NA
"1250","Chocolate Cake","Vanilla Meringue",NA,NA,NA,NA,NA,NA
"1251","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"1252","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1253","Apple Tart","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"1254","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"1255","Almond Tart","Gongolais Cookie","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA
"1256","Casino Cake","Ganache Cookie","Gongolais Cookie","Tuile Cookie","Green Tea",NA,NA,NA
"1257","Blackberry Tart","Cheese Croissant",NA,NA,NA,NA,NA,NA
"1258","Coffee Eclair","Napoleon Cake","Marzipan Cookie","Chocolate Croissant","Single Espresso",NA,NA,NA
"1259","Chocolate Tart","Cherry Tart","Lemon Tart","Lemon Cookie","Almond Bear Claw","Green Tea",NA,NA
"1260","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"1261","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"1262","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1263","Chocolate Cake","Opera Cake","Vanilla Eclair","Pecan Tart","Raspberry Cookie","Tuile Cookie","Apricot Croissant","Chocolate Croissant"
"1264","Apple Tart","Ganache Cookie","Gongolais Cookie","Raspberry Cookie","Tuile Cookie",NA,NA,NA
"1265","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1266","Chocolate Cake","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA
"1267","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"1268","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"1269","Almond Tart","Tuile Cookie","Hot Coffee","Chocolate Coffee",NA,NA,NA,NA
"1270","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"1271","Casino Cake","Chocolate Tart","Chocolate Meringue","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA
"1272","Vanilla Eclair","Apricot Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"1273","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"1274","Strawberry Cake","Apple Tart","Berry Tart",NA,NA,NA,NA,NA
"1275","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1276","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1277","Apricot Tart","Ganache Cookie","Apple Danish","Chocolate Coffee",NA,NA,NA,NA
"1278","Strawberry Cake","Napoleon Cake","Lemon Tart",NA,NA,NA,NA,NA
"1279","Opera Cake","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA
"1280","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1281","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"1282","Gongolais Cookie",NA,NA,NA,NA,NA,NA,NA
"1283","Tuile Cookie","Apricot Danish","Raspberry Lemonade","Green Tea",NA,NA,NA,NA
"1284","Berry Tart","Cheese Croissant","Bottled Water","Chocolate Coffee",NA,NA,NA,NA
"1285","Apple Tart","Marzipan Cookie","Tuile Cookie","Lemon Lemonade",NA,NA,NA,NA
"1286","Opera Cake","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino","Cherry Soda",NA,NA,NA
"1287","Casino Cake","Lemon Cookie",NA,NA,NA,NA,NA,NA
"1288","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1289","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"1290","Napoleon Cake","Berry Tart","Bottled Water",NA,NA,NA,NA,NA
"1291","Opera Cake","Cherry Tart","Chocolate Croissant","Apricot Danish",NA,NA,NA,NA
"1292","Bottled Water","Vanilla Frappuccino",NA,NA,NA,NA,NA,NA
"1293","Casino Cake",NA,NA,NA,NA,NA,NA,NA
"1294","Almond Tart","Apple Danish",NA,NA,NA,NA,NA,NA
"1295","Chocolate Cake","Chocolate Coffee",NA,NA,NA,NA,NA,NA
"1296","Marzipan Cookie","Tuile Cookie","Apricot Croissant",NA,NA,NA,NA,NA
"1297","Truffle Cake","Gongolais Cookie","Blueberry Danish",NA,NA,NA,NA,NA
"1298","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"1299","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1300","Coffee Eclair","Cherry Tart","Apple Danish","Cherry Soda",NA,NA,NA,NA
"1301","Strawberry Cake","Chocolate Eclair","Napoleon Cake",NA,NA,NA,NA,NA
"1302","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1303","Coffee Eclair","Apricot Tart","Chocolate Meringue","Lemon Lemonade","Orange Juice","Green Tea",NA,NA
"1304","Apple Tart","Cherry Tart","Apricot Danish","Single Espresso",NA,NA,NA,NA
"1305","Gongolais Cookie","Lemon Cookie","Single Espresso",NA,NA,NA,NA,NA
"1306","Lemon Cake","Lemon Tart","Pecan Tart","Ganache Cookie","Vanilla Meringue","Bottled Water",NA,NA
"1307","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"1308","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"1309","Lemon Cake","Coffee Eclair","Apple Pie","Chocolate Tart","Lemon Tart","Lemon Cookie","Orange Juice",NA
"1310","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1311","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"1312","Vanilla Eclair","Apple Pie","Berry Tart","Blueberry Tart","Bottled Water","Chocolate Coffee",NA,NA
"1313","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"1314","Vanilla Meringue","Apricot Croissant","Green Tea",NA,NA,NA,NA,NA
"1315","Vanilla Eclair","Blackberry Tart","Raspberry Cookie","Lemon Cookie","Apricot Danish","Lemon Lemonade","Raspberry Lemonade","Green Tea"
"1316","Truffle Cake","Tuile Cookie","Orange Juice",NA,NA,NA,NA,NA
"1317","Napoleon Cake","Lemon Tart","Chocolate Croissant","Lemon Lemonade",NA,NA,NA,NA
"1318","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"1319","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1320","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"1321","Lemon Cake","Napoleon Cake","Ganache Cookie",NA,NA,NA,NA,NA
"1322","Almond Tart","Apple Pie","Ganache Cookie","Almond Croissant","Apple Croissant",NA,NA,NA
"1323","Chocolate Cake","Lemon Cake","Apple Tart","Chocolate Coffee",NA,NA,NA,NA
"1324","Lemon Cake","Casino Cake","Opera Cake","Cherry Tart","Apricot Danish","Single Espresso",NA,NA
"1325","Casino Cake","Strawberry Cake",NA,NA,NA,NA,NA,NA
"1326","Strawberry Cake","Cherry Tart","Ganache Cookie","Apple Croissant",NA,NA,NA,NA
"1327","Chocolate Cake","Coffee Eclair","Lemon Cookie","Chocolate Meringue","Tuile Cookie","Apple Croissant","Almond Bear Claw",NA
"1328","Strawberry Cake","Vanilla Eclair",NA,NA,NA,NA,NA,NA
"1329","Strawberry Cake","Ganache Cookie","Blueberry Danish","Bottled Water",NA,NA,NA,NA
"1330","Tuile Cookie","Chocolate Croissant","Chocolate Coffee",NA,NA,NA,NA,NA
"1331","Berry Tart","Blackberry Tart","Lemon Cookie","Almond Croissant","Apple Croissant",NA,NA,NA
"1332","Lemon Cake","Casino Cake","Truffle Cake","Chocolate Eclair","Gongolais Cookie",NA,NA,NA
"1333","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"1334","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"1335","Napoleon Cake","Chocolate Tart","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1336","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"1337","Truffle Cake","Berry Tart","Bottled Water",NA,NA,NA,NA,NA
"1338","Chocolate Cake","Vanilla Meringue","Walnut Cookie","Apricot Danish","Hot Coffee",NA,NA,NA
"1339","Strawberry Cake","Truffle Cake","Napoleon Cake","Gongolais Cookie","Apple Danish",NA,NA,NA
"1340","Apricot Tart","Cheese Croissant",NA,NA,NA,NA,NA,NA
"1341","Pecan Tart","Hot Coffee",NA,NA,NA,NA,NA,NA
"1342","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1343","Orange Juice",NA,NA,NA,NA,NA,NA,NA
"1344","Casino Cake","Apricot Danish",NA,NA,NA,NA,NA,NA
"1345","Lemon Cake","Lemon Tart","Apricot Danish",NA,NA,NA,NA,NA
"1346","Napoleon Cake","Apple Tart","Gongolais Cookie","Tuile Cookie","Single Espresso",NA,NA,NA
"1347","Marzipan Cookie","Tuile Cookie","Blueberry Danish",NA,NA,NA,NA,NA
"1348","Opera Cake","Blueberry Tart","Marzipan Cookie","Apple Croissant",NA,NA,NA,NA
"1349","Coffee Eclair","Hot Coffee",NA,NA,NA,NA,NA,NA
"1350","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"1351","Lemon Cake","Gongolais Cookie","Lemon Lemonade",NA,NA,NA,NA,NA
"1352","Chocolate Tart","Tuile Cookie","Chocolate Croissant",NA,NA,NA,NA,NA
"1353","Vanilla Eclair","Ganache Cookie",NA,NA,NA,NA,NA,NA
"1354","Napoleon Cake","Lemon Lemonade",NA,NA,NA,NA,NA,NA
"1355","Opera Cake","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA
"1356","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA,NA
"1357","Pecan Tart","Cheese Croissant","Orange Juice","Bottled Water",NA,NA,NA,NA
"1358","Apricot Tart","Berry Tart","Ganache Cookie","Bottled Water",NA,NA,NA,NA
"1359","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"1360","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"1361","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1362","Chocolate Croissant","Green Tea",NA,NA,NA,NA,NA,NA
"1363","Lemon Cake","Apple Pie","Cheese Croissant","Orange Juice",NA,NA,NA,NA
"1364","Strawberry Cake","Apple Tart","Apple Croissant","Apple Danish","Orange Juice","Cherry Soda",NA,NA
"1365","Casino Cake","Apple Tart","Apricot Tart",NA,NA,NA,NA,NA
"1366","Cheese Croissant","Raspberry Lemonade","Orange Juice",NA,NA,NA,NA,NA
"1367","Marzipan Cookie","Walnut Cookie","Apricot Croissant",NA,NA,NA,NA,NA
"1368","Strawberry Cake","Marzipan Cookie","Tuile Cookie","Orange Juice",NA,NA,NA,NA
"1369","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"1370","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1371","Coffee Eclair","Apple Tart","Blueberry Tart","Chocolate Tart","Walnut Cookie","Apple Croissant","Apple Danish","Cherry Soda"
"1372","Apricot Tart","Tuile Cookie",NA,NA,NA,NA,NA,NA
"1373","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"1374","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"1375","Strawberry Cake","Truffle Cake","Apricot Tart","Berry Tart","Bottled Water",NA,NA,NA
"1376","Berry Tart","Lemon Tart","Apple Danish",NA,NA,NA,NA,NA
"1377","Lemon Cake","Chocolate Tart","Lemon Tart",NA,NA,NA,NA,NA
"1378","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1379","Truffle Cake","Pecan Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"1380","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1381","Chocolate Tart","Cheese Croissant","Chocolate Croissant",NA,NA,NA,NA,NA
"1382","Tuile Cookie","Green Tea",NA,NA,NA,NA,NA,NA
"1383","Gongolais Cookie","Marzipan Cookie","Cheese Croissant","Orange Juice",NA,NA,NA,NA
"1384","Casino Cake","Chocolate Tart","Vanilla Meringue","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA
"1385","Marzipan Cookie","Tuile Cookie","Green Tea",NA,NA,NA,NA,NA
"1386","Strawberry Cake","Apricot Tart","Lemon Cookie","Apricot Croissant",NA,NA,NA,NA
"1387","Opera Cake","Vanilla Eclair","Marzipan Cookie","Tuile Cookie","Blueberry Danish",NA,NA,NA
"1388","Vanilla Eclair","Almond Tart","Apple Croissant",NA,NA,NA,NA,NA
"1389","Chocolate Eclair","Napoleon Cake","Tuile Cookie",NA,NA,NA,NA,NA
"1390","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"1391","Cheese Croissant","Hot Coffee",NA,NA,NA,NA,NA,NA
"1392","Apricot Tart","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA
"1393","Lemon Cookie","Marzipan Cookie","Bottled Water",NA,NA,NA,NA,NA
"1394","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1395","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"1396","Opera Cake","Cherry Tart","Apricot Danish","Orange Juice",NA,NA,NA,NA
"1397","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"1398","Napoleon Cake","Marzipan Cookie","Almond Croissant","Raspberry Lemonade",NA,NA,NA,NA
"1399","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"1400","Chocolate Cake","Strawberry Cake","Truffle Cake","Napoleon Cake","Apple Tart","Chocolate Tart","Chocolate Croissant","Chocolate Coffee"
"1401","Coffee Eclair","Lemon Tart","Pecan Tart","Marzipan Cookie","Tuile Cookie","Almond Croissant",NA,NA
"1402","Berry Tart","Chocolate Croissant","Apricot Danish",NA,NA,NA,NA,NA
"1403","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"1404","Coffee Eclair","Blackberry Tart","Cherry Tart","Almond Bear Claw","Single Espresso",NA,NA,NA
"1405","Lemon Tart","Lemon Cookie","Single Espresso",NA,NA,NA,NA,NA
"1406","Casino Cake","Almond Tart",NA,NA,NA,NA,NA,NA
"1407","Marzipan Cookie","Almond Croissant","Green Tea",NA,NA,NA,NA,NA
"1408","Strawberry Cake","Raspberry Cookie","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA
"1409","Apple Pie","Lemon Tart","Blueberry Danish",NA,NA,NA,NA,NA
"1410","Lemon Cake","Lemon Tart","Orange Juice",NA,NA,NA,NA,NA
"1411","Casino Cake","Coffee Eclair","Apple Tart","Raspberry Cookie","Raspberry Lemonade",NA,NA,NA
"1412","Strawberry Cake","Napoleon Cake","Ganache Cookie",NA,NA,NA,NA,NA
"1413","Casino Cake","Coffee Eclair","Blackberry Tart","Apple Danish","Single Espresso",NA,NA,NA
"1414","Gongolais Cookie","Chocolate Meringue","Lemon Lemonade",NA,NA,NA,NA,NA
"1415","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"1416","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"1417","Raspberry Cookie","Lemon Cookie","Tuile Cookie","Cheese Croissant","Orange Juice",NA,NA,NA
"1418","Chocolate Cake","Lemon Cake","Almond Tart","Lemon Tart",NA,NA,NA,NA
"1419","Opera Cake","Blackberry Tart","Cherry Tart","Apricot Danish",NA,NA,NA,NA
"1420","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"1421","Truffle Cake","Apple Tart","Gongolais Cookie","Orange Juice","Chocolate Coffee",NA,NA,NA
"1422","Lemon Cake","Strawberry Cake","Ganache Cookie","Hot Coffee",NA,NA,NA,NA
"1423","Berry Tart",NA,NA,NA,NA,NA,NA,NA
"1424","Chocolate Cake","Marzipan Cookie","Orange Juice",NA,NA,NA,NA,NA
"1425","Chocolate Croissant",NA,NA,NA,NA,NA,NA,NA
"1426","Blueberry Tart","Chocolate Meringue","Almond Bear Claw",NA,NA,NA,NA,NA
"1427","Napoleon Cake","Lemon Tart","Orange Juice","Bottled Water",NA,NA,NA,NA
"1428","Almond Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"1429","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"1430","Lemon Cake","Casino Cake","Cheese Croissant","Raspberry Lemonade",NA,NA,NA,NA
"1431","Tuile Cookie","Almond Croissant",NA,NA,NA,NA,NA,NA
"1432","Apricot Tart","Apricot Danish","Orange Juice","Bottled Water",NA,NA,NA,NA
"1433","Coffee Eclair","Almond Tart","Lemon Tart","Apricot Danish","Apple Danish",NA,NA,NA
"1434","Strawberry Cake","Apple Tart","Apple Danish",NA,NA,NA,NA,NA
"1435","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1436","Tuile Cookie","Walnut Cookie","Almond Bear Claw","Raspberry Lemonade",NA,NA,NA,NA
"1437","Coffee Eclair","Apricot Tart","Berry Tart","Pecan Tart","Gongolais Cookie","Apple Danish","Lemon Lemonade","Hot Coffee"
"1438","Strawberry Cake","Napoleon Cake","Cherry Tart",NA,NA,NA,NA,NA
"1439","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"1440","Apple Pie",NA,NA,NA,NA,NA,NA,NA
"1441","Lemon Cake","Almond Tart",NA,NA,NA,NA,NA,NA
"1442","Napoleon Cake","Apple Danish","Orange Juice","Cherry Soda",NA,NA,NA,NA
"1443","Almond Bear Claw","Raspberry Lemonade",NA,NA,NA,NA,NA,NA
"1444","Truffle Cake","Apricot Tart","Tuile Cookie",NA,NA,NA,NA,NA
"1445","Almond Tart","Cherry Tart","Orange Juice",NA,NA,NA,NA,NA
"1446","Cherry Tart","Single Espresso",NA,NA,NA,NA,NA,NA
"1447","Apple Croissant","Single Espresso",NA,NA,NA,NA,NA,NA
"1448","Apple Danish","Almond Twist",NA,NA,NA,NA,NA,NA
"1449","Blueberry Tart","Almond Croissant","Cheese Croissant","Single Espresso",NA,NA,NA,NA
"1450","Berry Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"1451","Opera Cake","Cherry Tart","Apricot Danish","Blueberry Danish",NA,NA,NA,NA
"1452","Vanilla Eclair","Hot Coffee",NA,NA,NA,NA,NA,NA
"1453","Almond Tart","Vanilla Meringue","Marzipan Cookie","Tuile Cookie","Chocolate Croissant",NA,NA,NA
"1454","Apple Croissant","Orange Juice","Cherry Soda",NA,NA,NA,NA,NA
"1455","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"1456","Vanilla Frappuccino",NA,NA,NA,NA,NA,NA,NA
"1457","Lemon Cake","Strawberry Cake","Napoleon Cake","Lemon Tart","Almond Croissant","Chocolate Croissant",NA,NA
"1458","Casino Cake","Opera Cake","Cherry Tart","Apricot Danish","Almond Bear Claw",NA,NA,NA
"1459","Almond Tart","Apple Pie","Lemon Tart","Walnut Cookie","Orange Juice","Chocolate Coffee",NA,NA
"1460","Walnut Cookie","Orange Juice",NA,NA,NA,NA,NA,NA
"1461","Ganache Cookie",NA,NA,NA,NA,NA,NA,NA
"1462","Apricot Tart","Berry Tart","Marzipan Cookie","Chocolate Croissant",NA,NA,NA,NA
