"","P1","P2","P3","P4","P5","P6","P7","P8"
"897","Blackberry Tart","Gongolais Cookie","Marzipan Cookie","Almond Croissant",NA,NA,NA,NA
"898","Lemon Tart","Tuile Cookie",NA,NA,NA,NA,NA,NA
"899","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"900","Apple Tart","Apple Croissant","Cheese Croissant","Apple Danish","Single Espresso",NA,NA,NA
"901","Berry Tart","Blackberry Tart","Walnut Cookie",NA,NA,NA,NA,NA
"902","Orange Juice",NA,NA,NA,NA,NA,NA,NA
"903","Truffle Cake","Gongolais Cookie","Bottled Water",NA,NA,NA,NA,NA
"904","Apple Tart","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"905","Coffee Eclair","Apple Pie","Lemon Tart","Almond Twist","Hot Coffee","Vanilla Frappuccino",NA,NA
"906","Lemon Cake","Strawberry Cake","Blackberry Tart","Lemon Tart",NA,NA,NA,NA
"907","Lemon Cake","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA
"908","Lemon Tart","Chocolate Croissant",NA,NA,NA,NA,NA,NA
"909","Opera Cake","Cherry Tart","Chocolate Meringue","Chocolate Coffee",NA,NA,NA,NA
"910","Cheese Croissant","Vanilla Frappuccino",NA,NA,NA,NA,NA,NA
"911","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"912","Vanilla Eclair","Apricot Croissant","Almond Bear Claw",NA,NA,NA,NA,NA
"913","Apricot Tart","Blackberry Tart","Almond Twist",NA,NA,NA,NA,NA
"914","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"915","Strawberry Cake","Chocolate Eclair","Napoleon Cake","Apricot Danish",NA,NA,NA,NA
"916","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"917","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"918","Chocolate Meringue","Almond Croissant","Hot Coffee",NA,NA,NA,NA,NA
"919","Chocolate Eclair","Vanilla Eclair",NA,NA,NA,NA,NA,NA
"920","Walnut Cookie","Almond Twist","Almond Bear Claw","Orange Juice","Vanilla Frappuccino",NA,NA,NA
"921","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"922","Pecan Tart","Green Tea",NA,NA,NA,NA,NA,NA
"923","Napoleon Cake","Chocolate Croissant","Chocolate Coffee",NA,NA,NA,NA,NA
"924","Strawberry Cake","Chocolate Coffee","Cherry Soda",NA,NA,NA,NA,NA
"925","Casino Cake","Cherry Tart","Gongolais Cookie","Apricot Danish",NA,NA,NA,NA
"926","Blackberry Tart","Orange Juice",NA,NA,NA,NA,NA,NA
"927","Chocolate Cake","Casino Cake","Coffee Eclair","Marzipan Cookie","Chocolate Coffee","Cherry Soda",NA,NA
"928","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"929","Almond Croissant","Apricot Croissant","Single Espresso",NA,NA,NA,NA,NA
"930","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"931","Strawberry Cake",NA,NA,NA,NA,NA,NA,NA
"932","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"933","Strawberry Cake","Apricot Croissant","Vanilla Frappuccino",NA,NA,NA,NA,NA
"934","Chocolate Cake","Chocolate Croissant",NA,NA,NA,NA,NA,NA
"935","Vanilla Eclair","Almond Tart","Apple Pie","Almond Twist","Almond Bear Claw","Orange Juice","Chocolate Coffee",NA
"936","Strawberry Cake","Napoleon Cake","Chocolate Tart",NA,NA,NA,NA,NA
"937","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"938","Apricot Tart",NA,NA,NA,NA,NA,NA,NA
"939","Chocolate Cake","Apricot Tart","Chocolate Coffee",NA,NA,NA,NA,NA
"940","Lemon Cake","Cherry Tart","Chocolate Meringue","Vanilla Meringue","Cheese Croissant",NA,NA,NA
"941","Opera Cake","Cherry Tart","Lemon Tart","Marzipan Cookie","Tuile Cookie","Blueberry Danish","Chocolate Coffee",NA
"942","Truffle Cake","Apple Pie","Blueberry Tart","Tuile Cookie","Almond Bear Claw","Single Espresso",NA,NA
"943","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"944","Casino Cake","Berry Tart","Bottled Water",NA,NA,NA,NA,NA
"945","Lemon Cake","Casino Cake","Chocolate Meringue","Apple Croissant","Cheese Croissant","Chocolate Croissant",NA,NA
"946","Hot Coffee",NA,NA,NA,NA,NA,NA,NA
"947","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"948","Apple Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"949","Opera Cake","Cherry Tart","Vanilla Meringue","Apricot Danish",NA,NA,NA,NA
"950","Lemon Cake","Opera Cake","Blueberry Tart","Cherry Soda",NA,NA,NA,NA
"951","Almond Croissant","Apple Danish","Lemon Lemonade",NA,NA,NA,NA,NA
"952","Truffle Cake","Coffee Eclair","Lemon Tart","Gongolais Cookie",NA,NA,NA,NA
"953","Lemon Tart","Apricot Croissant","Chocolate Croissant","Green Tea",NA,NA,NA,NA
"954","Truffle Cake","Gongolais Cookie","Raspberry Lemonade","Vanilla Frappuccino",NA,NA,NA,NA
"955","Chocolate Cake","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA
"956","Truffle Cake",NA,NA,NA,NA,NA,NA,NA
"957","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"958","Strawberry Cake","Napoleon Cake","Apple Tart","Almond Croissant","Apple Danish",NA,NA,NA
"959","Truffle Cake","Vanilla Eclair","Gongolais Cookie","Apple Danish",NA,NA,NA,NA
"960","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"961","Opera Cake","Cherry Tart","Marzipan Cookie","Apricot Danish",NA,NA,NA,NA
"962","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"963","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"964","Blackberry Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"965","Lemon Cookie","Apple Danish","Almond Bear Claw","Orange Juice",NA,NA,NA,NA
"966","Coffee Eclair","Apple Pie","Vanilla Meringue","Almond Twist","Hot Coffee",NA,NA,NA
"967","Opera Cake","Chocolate Eclair","Almond Croissant",NA,NA,NA,NA,NA
"968","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"969","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"970","Opera Cake","Blackberry Tart","Tuile Cookie","Almond Croissant","Apricot Croissant",NA,NA,NA
"971","Casino Cake","Napoleon Cake","Chocolate Tart","Pecan Tart",NA,NA,NA,NA
"972","Napoleon Cake",NA,NA,NA,NA,NA,NA,NA
"973","Chocolate Eclair","Chocolate Tart","Vanilla Frappuccino","Cherry Soda",NA,NA,NA,NA
"974","Strawberry Cake","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA
"975","Opera Cake","Apple Tart",NA,NA,NA,NA,NA,NA
"976","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"977","Coffee Eclair","Gongolais Cookie","Cheese Croissant","Almond Bear Claw","Raspberry Lemonade","Green Tea",NA,NA
"978","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"979","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"980","Pecan Tart","Almond Croissant","Apple Croissant","Cheese Croissant","Almond Twist",NA,NA,NA
"981","Apricot Tart","Chocolate Tart","Raspberry Lemonade","Single Espresso",NA,NA,NA,NA
"982","Lemon Cake","Truffle Cake","Chocolate Eclair","Walnut Cookie","Chocolate Croissant","Almond Twist",NA,NA
"983","Almond Tart","Berry Tart","Apple Danish","Almond Twist","Bottled Water",NA,NA,NA
"984","Opera Cake","Truffle Cake","Chocolate Meringue",NA,NA,NA,NA,NA
"985","Chocolate Cake","Chocolate Coffee",NA,NA,NA,NA,NA,NA
"986","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"987","Truffle Cake","Gongolais Cookie","Tuile Cookie","Cheese Croissant","Apricot Danish","Blueberry Danish",NA,NA
"988","Ganache Cookie","Vanilla Meringue","Almond Bear Claw","Hot Coffee","Cherry Soda",NA,NA,NA
"989","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"990","Strawberry Cake","Napoleon Cake","Cheese Croissant","Almond Bear Claw","Green Tea",NA,NA,NA
"991","Chocolate Tart","Raspberry Cookie","Vanilla Meringue",NA,NA,NA,NA,NA
"992","Cherry Tart","Lemon Tart","Raspberry Cookie","Lemon Cookie","Lemon Lemonade",NA,NA,NA
"993","Strawberry Cake","Chocolate Eclair","Napoleon Cake","Raspberry Cookie",NA,NA,NA,NA
"994","Truffle Cake","Lemon Tart","Apricot Danish","Blueberry Danish","Raspberry Lemonade","Green Tea","Vanilla Frappuccino","Single Espresso"
"995","Blackberry Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"996","Chocolate Cake","Almond Tart","Apricot Tart","Chocolate Meringue","Cheese Croissant","Blueberry Danish","Orange Juice",NA
"997","Chocolate Cake","Blueberry Danish",NA,NA,NA,NA,NA,NA
"998","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"999","Vanilla Eclair","Almond Croissant","Raspberry Lemonade",NA,NA,NA,NA,NA
"1000","Chocolate Tart","Cherry Tart","Apple Croissant",NA,NA,NA,NA,NA
"1001","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"1002","Truffle Cake","Cherry Tart","Gongolais Cookie","Marzipan Cookie","Apple Croissant",NA,NA,NA
"1003","Walnut Cookie","Bottled Water",NA,NA,NA,NA,NA,NA
"1004","Blackberry Tart","Marzipan Cookie",NA,NA,NA,NA,NA,NA
"1005","Lemon Cake","Chocolate Tart","Orange Juice","Chocolate Coffee","Single Espresso",NA,NA,NA
"1006","Apricot Tart","Marzipan Cookie","Walnut Cookie","Almond Croissant","Apricot Croissant","Chocolate Croissant","Apricot Danish",NA
"1007","Lemon Cake","Blackberry Tart","Cherry Tart","Chocolate Croissant","Orange Juice","Single Espresso",NA,NA
"1008","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1009","Vanilla Eclair","Lemon Lemonade","Bottled Water","Vanilla Frappuccino","Single Espresso",NA,NA,NA
"1010","Gongolais Cookie","Orange Juice","Chocolate Coffee",NA,NA,NA,NA,NA
"1011","Blackberry Tart","Almond Croissant",NA,NA,NA,NA,NA,NA
"1012","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1013","Raspberry Lemonade",NA,NA,NA,NA,NA,NA,NA
"1014","Chocolate Cake","Strawberry Cake","Napoleon Cake","Apricot Tart","Walnut Cookie",NA,NA,NA
"1015","Blueberry Tart","Apricot Croissant","Blueberry Danish","Hot Coffee",NA,NA,NA,NA
"1016","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1017","Lemon Cake","Berry Tart",NA,NA,NA,NA,NA,NA
"1018","Lemon Cookie","Walnut Cookie","Single Espresso",NA,NA,NA,NA,NA
"1019","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"1020","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"1021","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1022","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"1023","Almond Tart","Chocolate Tart","Tuile Cookie","Apple Danish",NA,NA,NA,NA
"1024","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"1025","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"1026","Blueberry Tart","Apricot Croissant","Almond Twist","Cherry Soda",NA,NA,NA,NA
"1027","Lemon Cookie","Marzipan Cookie","Cheese Croissant","Orange Juice","Green Tea",NA,NA,NA
"1028","Cherry Tart","Apricot Croissant","Apricot Danish",NA,NA,NA,NA,NA
"1029","Lemon Cake","Almond Croissant","Apricot Croissant","Raspberry Lemonade","Green Tea",NA,NA,NA
"1030","Blueberry Tart","Chocolate Tart","Almond Croissant","Orange Juice","Green Tea",NA,NA,NA
"1031","Lemon Cake","Truffle Cake","Coffee Eclair","Lemon Tart","Marzipan Cookie","Cheese Croissant","Lemon Lemonade","Green Tea"
"1032","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1033","Ganache Cookie","Gongolais Cookie","Marzipan Cookie","Blueberry Danish",NA,NA,NA,NA
"1034","Almond Tart",NA,NA,NA,NA,NA,NA,NA
"1035","Truffle Cake","Gongolais Cookie","Walnut Cookie","Cherry Soda",NA,NA,NA,NA
"1036","Chocolate Cake","Tuile Cookie","Apricot Danish","Apple Danish","Orange Juice",NA,NA,NA
"1037","Coffee Eclair","Apple Pie","Blackberry Tart","Cheese Croissant","Chocolate Croissant","Almond Bear Claw","Chocolate Coffee","Single Espresso"
"1038","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"1039","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"1040","Strawberry Cake","Napoleon Cake","Apricot Tart",NA,NA,NA,NA,NA
"1041","Truffle Cake","Pecan Tart","Almond Croissant","Single Espresso",NA,NA,NA,NA
"1042","Almond Tart","Apple Pie","Apricot Tart","Gongolais Cookie","Chocolate Meringue","Tuile Cookie","Hot Coffee","Cherry Soda"
"1043","Opera Cake","Cherry Tart","Lemon Cookie","Chocolate Meringue","Apple Croissant","Apricot Danish",NA,NA
"1044","Chocolate Cake","Berry Tart","Chocolate Tart","Almond Twist","Vanilla Frappuccino",NA,NA,NA
"1045","Casino Cake","Green Tea","Bottled Water","Chocolate Coffee",NA,NA,NA,NA
"1046","Cherry Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"1047","Chocolate Eclair","Coffee Eclair","Vanilla Eclair","Apple Pie","Apple Tart","Vanilla Meringue","Tuile Cookie","Blueberry Danish"
"1048","Walnut Cookie",NA,NA,NA,NA,NA,NA,NA
"1049","Lemon Tart",NA,NA,NA,NA,NA,NA,NA
"1050","Truffle Cake","Apple Danish","Raspberry Lemonade",NA,NA,NA,NA,NA
"1051","Strawberry Cake","Ganache Cookie",NA,NA,NA,NA,NA,NA
"1052","Casino Cake","Strawberry Cake","Blackberry Tart",NA,NA,NA,NA,NA
"1053","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"1054","Opera Cake","Coffee Eclair","Apple Pie","Cherry Tart","Chocolate Meringue","Almond Twist","Bottled Water","Cherry Soda"
"1055","Blackberry Tart","Raspberry Lemonade","Bottled Water","Single Espresso",NA,NA,NA,NA
"1056","Opera Cake","Truffle Cake","Cheese Croissant",NA,NA,NA,NA,NA
"1057","Truffle Cake","Gongolais Cookie","Raspberry Cookie",NA,NA,NA,NA,NA
"1058","Lemon Tart","Walnut Cookie",NA,NA,NA,NA,NA,NA
"1059","Blackberry Tart","Pecan Tart","Walnut Cookie","Green Tea","Cherry Soda",NA,NA,NA
"1060","Lemon Cake","Opera Cake","Napoleon Cake","Cherry Tart","Almond Croissant",NA,NA,NA
"1061","Cheese Croissant",NA,NA,NA,NA,NA,NA,NA
"1062","Chocolate Tart","Ganache Cookie","Bottled Water",NA,NA,NA,NA,NA
"1063","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"1064","Apple Pie","Lemon Tart","Vanilla Meringue",NA,NA,NA,NA,NA
"1065","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"1066","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1067","Chocolate Cake","Casino Cake","Gongolais Cookie","Chocolate Coffee",NA,NA,NA,NA
"1068","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA,NA
"1069","Apricot Tart","Gongolais Cookie","Raspberry Cookie",NA,NA,NA,NA,NA
"1070","Vanilla Eclair","Marzipan Cookie","Tuile Cookie","Raspberry Lemonade",NA,NA,NA,NA
"1071","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1072","Berry Tart","Tuile Cookie","Orange Juice",NA,NA,NA,NA,NA
"1073","Vanilla Eclair","Apricot Tart","Cherry Tart",NA,NA,NA,NA,NA
"1074","Casino Cake","Berry Tart","Orange Juice",NA,NA,NA,NA,NA
"1075","Chocolate Cake","Berry Tart",NA,NA,NA,NA,NA,NA
"1076","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"1077","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1078","Coffee Eclair","Blackberry Tart",NA,NA,NA,NA,NA,NA
"1079","Coffee Eclair","Blueberry Tart","Lemon Cookie","Vanilla Meringue","Apricot Croissant","Raspberry Lemonade",NA,NA
"1080","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"1081","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"1082","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"1083","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1084","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1085","Lemon Cake","Lemon Tart","Lemon Cookie",NA,NA,NA,NA,NA
"1086","Napoleon Cake","Apple Pie","Berry Tart","Lemon Tart","Almond Croissant","Raspberry Lemonade",NA,NA
"1087","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1088","Berry Tart","Apricot Croissant","Bottled Water",NA,NA,NA,NA,NA
"1089","Strawberry Cake","Napoleon Cake","Lemon Lemonade",NA,NA,NA,NA,NA
"1090","Almond Croissant",NA,NA,NA,NA,NA,NA,NA
"1091","Coffee Eclair","Raspberry Cookie","Lemon Cookie","Chocolate Meringue","Walnut Cookie",NA,NA,NA
"1092","Opera Cake","Apple Pie","Apple Tart",NA,NA,NA,NA,NA
"1093","Cherry Tart","Chocolate Croissant",NA,NA,NA,NA,NA,NA
"1094","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"1095","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"1096","Gongolais Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA,NA
"1097","Opera Cake","Cherry Tart","Lemon Cookie","Vanilla Meringue","Almond Croissant","Apricot Danish",NA,NA
"1098","Lemon Cake","Casino Cake","Apple Tart","Lemon Tart","Raspberry Lemonade",NA,NA,NA
"1099","Lemon Cake","Apricot Tart","Pecan Tart","Apple Croissant",NA,NA,NA,NA
"1100","Truffle Cake","Gongolais Cookie","Apple Danish",NA,NA,NA,NA,NA
"1101","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1102","Almond Tart","Apricot Tart","Apricot Danish","Cherry Soda",NA,NA,NA,NA
"1103","Chocolate Meringue","Hot Coffee",NA,NA,NA,NA,NA,NA
"1104","Chocolate Cake","Casino Cake","Opera Cake","Chocolate Meringue","Chocolate Coffee",NA,NA,NA
"1105","Lemon Cake","Lemon Tart","Bottled Water","Single Espresso",NA,NA,NA,NA
"1106","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1107","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"1108","Tuile Cookie","Walnut Cookie",NA,NA,NA,NA,NA,NA
"1109","Casino Cake","Strawberry Cake","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA
"1110","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"1111","Bottled Water",NA,NA,NA,NA,NA,NA,NA
"1112","Napoleon Cake",NA,NA,NA,NA,NA,NA,NA
"1113","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"1114","Opera Cake","Almond Tart","Gongolais Cookie","Apricot Danish","Almond Bear Claw",NA,NA,NA
"1115","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"1116","Truffle Cake","Gongolais Cookie","Vanilla Meringue","Green Tea",NA,NA,NA,NA
"1117","Strawberry Cake","Apple Croissant","Apricot Croissant",NA,NA,NA,NA,NA
"1118","Chocolate Cake","Strawberry Cake","Coffee Eclair","Tuile Cookie",NA,NA,NA,NA
"1119","Truffle Cake","Gongolais Cookie","Apple Danish",NA,NA,NA,NA,NA
"1120","Lemon Cake","Opera Cake","Strawberry Cake","Cherry Tart","Vanilla Meringue","Apricot Danish",NA,NA
"1121","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"1122","Opera Cake","Almond Tart","Cherry Tart","Apricot Danish",NA,NA,NA,NA
"1123","Lemon Cake","Lemon Tart","Chocolate Croissant",NA,NA,NA,NA,NA
"1124","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"1125","Chocolate Cake","Apricot Tart","Ganache Cookie","Apricot Danish","Hot Coffee",NA,NA,NA
"1126","Chocolate Tart","Green Tea",NA,NA,NA,NA,NA,NA
"1127","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"1128","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"1129","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1130","Apple Danish","Hot Coffee",NA,NA,NA,NA,NA,NA
"1131","Opera Cake","Chocolate Eclair","Chocolate Coffee",NA,NA,NA,NA,NA
"1132","Cheese Croissant","Raspberry Lemonade","Orange Juice",NA,NA,NA,NA,NA
"1133","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"1134","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1135","Coffee Eclair","Apple Pie","Vanilla Meringue","Almond Twist","Hot Coffee",NA,NA,NA
"1136","Chocolate Eclair","Blueberry Tart","Almond Twist",NA,NA,NA,NA,NA
"1137","Coffee Eclair","Apple Danish","Orange Juice",NA,NA,NA,NA,NA
"1138","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"1139","Chocolate Cake","Apricot Tart","Raspberry Cookie","Chocolate Coffee",NA,NA,NA,NA
"1140","Opera Cake","Strawberry Cake","Almond Croissant","Chocolate Croissant",NA,NA,NA,NA
"1141","Marzipan Cookie",NA,NA,NA,NA,NA,NA,NA
"1142","Opera Cake","Strawberry Cake","Raspberry Cookie","Apricot Croissant",NA,NA,NA,NA
"1143","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"1144","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"1145","Raspberry Cookie","Apple Danish",NA,NA,NA,NA,NA,NA
"1146","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"1147","Tuile Cookie","Cherry Soda",NA,NA,NA,NA,NA,NA
"1148","Chocolate Eclair","Berry Tart","Almond Bear Claw","Bottled Water","Vanilla Frappuccino",NA,NA,NA
"1149","Lemon Cookie","Tuile Cookie","Blueberry Danish",NA,NA,NA,NA,NA
"1150","Apple Pie","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade",NA,NA,NA
"1151","Raspberry Cookie","Lemon Cookie","Almond Twist","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA
"1152","Strawberry Cake","Ganache Cookie","Vanilla Meringue","Lemon Lemonade","Cherry Soda",NA,NA,NA
"1153","Chocolate Eclair","Blueberry Tart","Apricot Croissant","Chocolate Croissant","Orange Juice",NA,NA,NA
"1154","Opera Cake","Chocolate Tart","Tuile Cookie",NA,NA,NA,NA,NA
"1155","Vanilla Eclair","Almond Tart","Apple Danish",NA,NA,NA,NA,NA
"1156","Almond Twist","Green Tea",NA,NA,NA,NA,NA,NA
"1157","Vanilla Eclair","Blackberry Tart","Ganache Cookie","Cheese Croissant","Orange Juice",NA,NA,NA
"1158","Opera Cake","Vanilla Eclair","Cherry Tart","Almond Croissant","Apricot Danish","Single Espresso",NA,NA
"1159","Lemon Cake","Apple Tart","Lemon Tart","Raspberry Cookie","Cheese Croissant","Orange Juice",NA,NA
"1160","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"1161","Almond Tart","Chocolate Meringue","Almond Croissant",NA,NA,NA,NA,NA
"1162","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"1163","Chocolate Cake","Apple Croissant","Almond Twist",NA,NA,NA,NA,NA
"1164","Gongolais Cookie","Raspberry Cookie","Lemon Lemonade",NA,NA,NA,NA,NA
"1165","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"1166","Coffee Eclair","Blackberry Tart","Blueberry Danish","Single Espresso",NA,NA,NA,NA
"1167","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"1168","Chocolate Cake","Strawberry Cake","Apple Tart",NA,NA,NA,NA,NA
"1169","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"1170","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"1171","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"1172","Coffee Eclair","Lemon Tart","Ganache Cookie","Raspberry Lemonade",NA,NA,NA,NA
"1173","Lemon Cake","Apple Croissant",NA,NA,NA,NA,NA,NA
"1174","Strawberry Cake","Tuile Cookie","Apple Danish","Orange Juice",NA,NA,NA,NA
"1175","Napoleon Cake","Lemon Cookie","Apricot Croissant","Orange Juice",NA,NA,NA,NA
"1176","Ganache Cookie","Raspberry Cookie","Orange Juice",NA,NA,NA,NA,NA
"1177","Berry Tart","Blueberry Tart","Lemon Tart","Lemon Cookie","Chocolate Meringue","Bottled Water",NA,NA
"1178","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"1179","Marzipan Cookie","Tuile Cookie","Blueberry Danish","Vanilla Frappuccino",NA,NA,NA,NA
"1180","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"1181","Opera Cake","Truffle Cake","Raspberry Lemonade","Orange Juice",NA,NA,NA,NA
"1182","Blackberry Tart","Gongolais Cookie","Chocolate Croissant","Cherry Soda",NA,NA,NA,NA
"1183","Apple Croissant","Single Espresso",NA,NA,NA,NA,NA,NA
"1184","Pecan Tart","Almond Croissant",NA,NA,NA,NA,NA,NA
"1185","Walnut Cookie","Cheese Croissant","Blueberry Danish",NA,NA,NA,NA,NA
"1186","Lemon Cake","Napoleon Cake","Almond Bear Claw",NA,NA,NA,NA,NA
"1187","Chocolate Cake","Casino Cake","Lemon Tart","Chocolate Coffee",NA,NA,NA,NA
"1188","Almond Tart","Berry Tart","Pecan Tart",NA,NA,NA,NA,NA
"1189","Lemon Tart","Raspberry Cookie","Chocolate Meringue","Hot Coffee","Single Espresso",NA,NA,NA
"1190","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"1191","Vanilla Eclair","Apple Pie","Blackberry Tart","Apricot Croissant","Chocolate Coffee",NA,NA,NA
"1192","Casino Cake","Marzipan Cookie","Blueberry Danish",NA,NA,NA,NA,NA
